"Because you are important to us, we want to know what you think about the products. As an added value, every time you rate the products you earn points which go straight to your account. 1 point are added to your account for every review that you give. You will need those points in order to redeem the sample products. So keep rating the products to keep earning points!", "WHAT DO YOU MEAN BY POINTS? HOW DO I EARN IT?"
"By default, the last used shipping address will be saved into to your Sample Shop account. When you are checking out your order, the default shipping address will be displayed and you have the option to amend it if you need to.", "HOW CAN I CHANGE MY SHIPPING ADDRESS?"
"The instructions to activate your account will be sent to your email once you have submitted the registration form. If you did not receive this email, your email service provider's mailing software may be blocking it. You can try checking your junk / spam folder or contact us at help@sampleshop.com", "HOW DO I ACTIVATE MY ACCOUNT?"
"Sample Shop is a popular spot and gets lots of shoppers at a time. These limits are in place to make sure everyone has a good time trying and purchasing their products. So...
- Each member is entitled to only one (1) sample order every day.
- Each member is entitled to one (1) bundle of sample for each product.
- Your account must have sufficient points before you can checkout the sample products.
- Kindly clear all pending payments before another checkout.", "WHY IS THERE A CHECKOUT LIMIT? / WHAT ARE ALL THE CHECKOUT LIMITS?"
"After logging into your account, the status of your checkout history can be found under Order History. For orders via registered postage, a tracking number (article tracking number) will be given to you after the receipt given from the Postal Service.", "HOW CAN I TRACK MY ORDERS & PAYMENT?"
"After logging into your account, go to your Shopping Cart. Here, you will be able to make payment or cancel your order. Note: We cannot give refunds once payment is verified.", "HOW DO I CANCEL MY ORDERS BEFORE I MAKE A PAYMENT?"
"Members who ship within the country should expect to receive their orders within five (5) to ten (10) working days upon payment verification depending on the volume of orders received.
If you experience delays in receiving your order, contact us immediately and we will help to confirm the status of your order.", "HOW LONG WILL IT TAKE FOR MY ORDER TO ARRIVE AFTER I MAKE PAYMENT?"
"The flat-rate handling fee is $5.99 and it is only applicable to normal samples. For free samples, they are fully paid for and there are no additional charges to deliver the free samples.
Handling fee covers the delivery, material, labour and logistics cost to support the sampling service. You can redeem up to 4 different samples in each checkout and it is likely that you will find samples bundle with larger supply (up to 1-week supply) on sampleshop.com.", "WHAT IS THE ACCUMULATED DELIVERY FEE FOR? HOW MUCH IS THE HANDLING FEE?"
"All your orders are sent via Post.", "HOW DO YOU SHIP MY ORDERS?"
"Paypal is the easiest way to make payments online. While checking out your order, you will be redirected to the Paypal website. Be sure to fill in correct details for fast & hassle-free payment processing. After a successful Paypal payment, a payment advice will be automatically generated to sampleshop.com system for your order. It's fast, easy & secure.", "HOW DO I MAKE PAYMENTS USING PAYPAL? HOW DOES IT WORK?"
"At the moment, we only accept Credit/Debit cards and Paypal payments.", "WHAT ARE THE PAYMENT METHODS AVAILABLE?"
"Yes! It is commonly misunderstood that a Paypal account is needed in order to make payments through Paypal. The truth is you DO NOT need one, although we strongly recommend you sign up to enjoy the added ease of use.
- Without a Paypal account, all you need is any Debit/Credit card stated below that is supported by Paypal. 
- By using Paypal, we can process & deliver your orders to you in a shorter time. Paypal is the easiest & most secure way to make payment online. No account needed. 
- For more details, click here to see how Paypal works for you.", "CAN I PAY USING PAYPAL WITHOUT A PAYPAL ACCOUNT?"
"We are in the process of removing the option to pay for your orders by ""Account Credits"". If you have remaining credits in your account, it will be used to pay for your next checkout. If there are insufficient credits, the system will direct you automatically to pay the balance via Paypal.", "HOW CAN I USE MY REMAINING ACCOUNT CREDITS?"
"Sample ordering is on ""first-come-first-served"" basis. To ensure that you get your desired samples, it is recommended that you make your payment within 60 minutes of checking out.", "WHY MUST I MAKE PAYMENT IMMEDIATELY AT CHECKOUT?"
"Due to the limited quantity, each member's account is only entitled to 1 unique free sample. You can check out up to 4 free samples in each checkout.", "HOW MANY FREE SAMPLES CAN I REDEEM?"
"We take such matters very seriously and will look into individual cases thoroughly. Any sample that falls under the below categories should not be thrown away before taking photo proof and emailing the photo of the affected sample and your D.O (Delivery Order) to us at help@sampleshop.com (if applicable).
We regret to inform you that no refunds will be given for orders that fall under the below categories.
1. In the event of damaged samples received, we will require photo proof of the affected samples and your D.O (Delivery Order) in order for us to investigate and review before a decision is made to re-send the sample to you at no cost, subject to availability. In light of this, any sample that falls into this category should not be thrown away before taking photo proof and emailing the photo to us at help@sampleshop.com
2. In the event of lost mail, we will try to locate the delivery team in Singpost and if there's a clear indication that your order is indeed lost, we'll re-send the order to you at no cost, subject to availability.", "WHAT HAPPENS IF THERE'S BEEN A DELIVERY MISHAP TO MY ORDER? (DAMAGED OR LOST DELIVERY)"
"We take such matters very seriously and will look into individual cases thoroughly. Any sample that falls under the below categories should not be thrown away before taking photo proof and emailing the photo of the affected sample and your D.O (Delivery Order) to us at help@sampleshop.com (if applicable).
We regret to inform you that no refunds will be given for orders that fall under the below categories.
1. In the event that the sample you've received is unsatisfactory in any way you perceive, we will require photo proof of the sample and your D.O (Delivery Order) as well and you may be required to send us back the sample for close inspection and review before a decision is made to re-send a sample to you at no cost, subject to availability. The postage cost will be credited back to your account after we receive the returned item.
2. In the event that you receive an expired product, we will require clear photo proof of the sample and its expiry date for close inspection and review before a decision is made to re-send a sample to you at no cost, subject to availability.
3. In the event that you've received the wrong sample, we will require photo proof of the wrongly sent sample and D.O (Delivery Order) and after reviewing, we'll re-send the correct sample to you at no cost, subject to availability.
4. In the event you've received your order with a missing sample, we will require you to email us a clear photo proof of your D.O (Delivery Order) to help@sampleshop.com and after which, kindly give us a call at (+1) 425 555 1212 and our customer service officer will attend to you to find out more before a decision is made to re-send the missing sample to you at no cost, subject to availability.", "WHAT HAPPENS IN THE EVENT OF UNSATISFACTORY/EXPIRED/WRONG SAMPLE/MISSING SAMPLES?"
